numero,funcionalidad,referencia_apartado,peso
1,"Monitoreo en línea: aglomeraciones","3.2.1",4
2,"Monitoreo en línea: servicios no comerciales","3.2.2",1
3,"Gestión de la operación: vistas para equipos portátiles","3.2.3",3
4,"Transbordos e intermodalidad","3.2.4",4
5,"Sistema de regulación: simulación de servicio en centro de control","3.2.5",3
6,"Sistema de regulación: retención en parada/terminal y señal de orden de salida","3.2.6",2
7,"Sistema de regulación: retorno al terminal o cabecera","3.2.7",1
8,"Sistema de regulación: suspensión de punto de parada","3.2.8",1
9,"Sistema de regulación: reemplazo de un punto de parada","3.2.9",1
10,"Sistema de regulación: modificación de tabla de horarios","3.2.10",1
11,"Sistema de regulación: gestión por tramos de servicio/trazado","3.2.11",2
12,"Sistema de regulación: extensión de un servicio","3.2.12",2
13,"Sistema de regulación: registro de actividades","3.2.13",2
14,"Sistema de contador de personas usuarias (funcionalidad avanzada)","3.2.14",5
15,"Panel de control","3.2.15",5
16,"Sistema de gestión de videovigilancia en tiempo real","3.2.16",5
17,"ADAS sistemas de asistencia al conductor (detección de proximidad de elementos)","3.2.17",3
18,"Sistema de Recursos Humanos para personal de conducción","3.2.18",2
19,"Integración de datos para aplicaciones de terceros","3.2.19",3
20,"Integración con el Sistema de Mantenimiento","3.2.20",2
21,"Identificación de servicios con operación alterada o inusual","3.2.21",4
22,"Identificación de puntos de parada con operación alterada o inusual","3.2.22",4
23,"Aglomeraciones de personas usuarias","3.2.23",3
24,"Sistema de mantenimiento (funcionalidad avanzada)","3.2.24",2
25,"Pedal/Botón de pánico","3.2.25",2
26,"Velocidades (alertas avanzadas)","3.2.26",2
27,"Sistema de datos: reporte sobre maniobras","3.2.27",2
28,"Sistema de datos: reporte calidad/rendimiento de conductores (eco-conducción)","3.2.28",2
29,"Estadísticas de llamadas bus centro de control","3.2.29",2
30,"Panel de monitoreo y alertas de telemetría","3.2.30",5
31,"Generación y modificación de despachos","3.2.31",3
32,"Llamada urgente: personal de conducción → centro de control","3.2.32",2
33,"Servicio Predictor vía API","3.2.33",1
34,"Servicio Predictor vía sitio web","3.2.34",1
35,"Servicio de información mediante otras aplicaciones","3.2.35",2
36,"Sistema de información de desvíos y disrupciones a la persona usuaria","3.2.36",4
37,"Visualización en tiempo real de ocupación de buses","3.2.37",2
38,"Service Interface for Real-time Information (SIRI)","3.2.38",3
39,"Información asociada a zonas geográficas","3.2.39",2
