numero,funcionalidad,referencia_apartado
1,"Monitoreo en línea: esquemas lineales tipo sinóptico","3.1.1"
2,"Monitoreo en línea: datos operacionales","3.1.2"
3,"Monitoreo en línea: localización y visualización de buses","3.1.3"
4,"Monitoreo en línea: velocidades","3.1.4"
5,"Monitoreo en línea: cálculos asociados a la operación","3.1.5"
6,"Monitoreo en línea: regularidad","3.1.6"
7,"Monitoreo en línea: expediciones","3.1.7"
8,"Monitoreo en línea: inyecciones (bucle)","3.1.8"
9,"Monitoreo en línea: servicios con desvío en ruta comercial","3.1.9"
10,"Gestión de la operación: inicio de servicio a bordo","3.1.10"
11,"Gestión de la operación: fin de servicio","3.1.11"
12,"Gestión de la operación: seguimiento de inicio y término del servicio","3.1.12"
13,"Herramientas de apoyo a la conducción","3.1.13"
14,"Sistema de regulación: desvíos de ruta habitual","3.1.14"
15,"Visualización histórica del posicionamiento de buses (playback)","3.1.15"
16,"Sistema de posicionamiento automático (AVL)","3.1.16"
17,"Programación de la operación","3.1.17"
18,"Sistema de puertas, timbre de parada y rampa de personas usuarias","3.1.18"
19,"Letreros de información variable exterior","3.1.19"
20,"Gestión de incidencias: desvíos","3.1.20"
21,"Gestión de incidencias: regulación","3.1.21"
22,"Gestión de incidencias: inyecciones","3.1.22"
23,"Sistema de datos: reporte de configuración","3.1.23"
24,"Sistema de datos: reporte de operación del día","3.1.24"
25,"Herramientas de despacho: gestión de despacho de buses","3.1.25"
26,"Comunicaciones: anuncios grupales","3.1.26"
27,"Comunicaciones: voz centro de control → buses / dispositivos móviles","3.1.27"
28,"Comunicaciones: voz bus → centro de control","3.1.28"
29,"Mensajería: centro de control → personal de conducción","3.1.29"
30,"Mensajería: personal de conducción → centro de control","3.1.30"
31,"Servicio de generación de predicciones","3.1.31"
32,"Servicio de posicionamiento en línea","3.1.32"
33,"Detalle de servicios, rutas y horarios de operación","3.1.33"
34,"GTFS-S (General Transit Feed Specification Schedule)","3.1.34"
35,"GTFS-RT (General Transit Feed Specification Realtime)","3.1.35"
36,"Sistema de datos: gestión y configuración de mensajes","3.1.36"
37,"Sistema de información: gestor de contenidos","3.1.37"
38,"Información a bordo de los buses","3.1.38"
39,"Sistema de megafonía para personas usuarias en el bus","3.1.39"

