rol_minimo,personas_capacitar
"Personal de CMB",20
"Coordinador de CMB",5
"Personal MTT con uso de herramientas de visualización y reportería",10
"Personal MTT encargado de configuración del Plan de Operaciones",5
"Personal MTT encargado de configuraciones del SIPU",5
"Personal ejecutivo del MTT",5
"Personal de COF",300
"Jefe de sala del COF",30
"Personal de COF (Planificación y Operaciones)",600
"Encargado de capacitación COF",20
"Personal de conducción",18000
"Encargado de capacitación de personal de conducción",500
"Encargado de capacitación de técnicos eléctricos y/o mecánicos",50
"Otros usuarios de monitoreo (Seguridad e Intermodales)",10
