qid,question,expected_ids,difficulty,category,target_doc_types,notes
v2_001,"En el cronograma, ¿cuál es el plazo para 'Respuesta a las consultas' y cuál es la ventana temporal para 'Presentación de ofertas'? Indica desde qué hito se cuenta cada plazo.","cronograma_licitacion:row:3;cronograma_licitacion:row:4",med,multi_hop,tabla,"Multi-evidencia: dos etapas distintas, ambas referidas al vencimiento del plazo de consultas."
v2_002,"Según el cronograma, ¿cuál es el plazo de la 'Evaluación técnica' y cuál es el plazo de la 'Evaluación económica y evaluación final'? Indica el evento desde el que se cuentan.","cronograma_licitacion:row:8;cronograma_licitacion:row:10",med,multi_hop,tabla,"Comparación de dos etapas y su regla de cómputo."
v2_003,"En el cronograma, ¿cuál es el plazo para 'Dictación de Resolución de Adjudicación' y cómo se relaciona temporalmente con la etapa de 'Evaluación económica y evaluación final'?","cronograma_licitacion:row:10;cronograma_licitacion:row:11",med,multi_hop,tabla,"Cadena temporal: evaluación final (row:10) → resolución de adjudicación (row:11)."
v2_004,"¿Cómo se calcula la Experiencia en Gestión de Flota (EGF) y en qué condiciones se fuerza EGF=0?","05_Evaluacion_adjudicacion:5:8",med,definition,normativa,"Fórmula EGF y reglas de anulación (umbral y ceros en GF1/GF2/GF3)."
v2_005,"En la evaluación técnica: (1) ¿cuál es la fórmula de EGF y (2) qué puntaje corresponde en GF1 para rango de buses '>=4000'?","05_Evaluacion_adjudicacion:5:8;experiencia_gf1:row:0",hard,multi_hop,mix,"Multi-evidencia: definición de GF1 en normativa + tabla CSV de rangos/puntajes."
v2_006,"En caso de empate entre ofertas, ¿cuál es el orden de los criterios de desempate y qué ocurre si el empate persiste?","05_Evaluacion_adjudicacion:5:20",med,ambiguity,normativa,"Criterios: PE_y, luego PT_y; si persiste, sorteo."
v2_007,"Según las definiciones, ¿qué es un 'Oferente' y qué es una 'Oferta'? Y según adjudicación, ¿qué criterio se aplica primero para desempatar entre ofertas?","def:2.24;def:2.25;05_Evaluacion_adjudicacion:5:20",hard,multi_hop,mix,"Multi-evidencia: definiciones formales + regla operativa de desempate."
v2_008,"Sobre la 'Garantía de seriedad de la oferta': ¿cuál es el monto (en UF) y cuál es la vigencia mínima (en días)? Además, ¿qué es la Unidad de Fomento (UF) según definiciones?","03_de_la_licitacion:3:76;def:2.38",hard,multi_hop,mix,"Multi-evidencia: requisito normativo (monto/vigencia) + definición de UF."
v2_009,"Según el apartado 3.3.2 Inhabilidades, indica una causal de inhabilidad para participar. Además, según la Declaración de Inhabilidades (A05), ¿qué declara el oferente bajo juramento respecto a estas causales?","03_de_la_licitacion:3:3;A02_A05_antecedentes_generales:A05:0",med,multi_hop,mix,"Calibrado: evidencia normativa (3.3.2) + declaración A05."
v2_010,"En caso de discrepancia entre documentos, ¿qué regla de prelación se aplica según 'Interpretación e información'? Y según definiciones, ¿qué se entiende por 'Bases de Licitación'?","06_al_09_obligaciones_confidencialidad_jurisdiccion_interpretacion:9:0;def:2.5",hard,multi_hop,mix,"Multi-evidencia: regla jerárquica + definición de 'Bases'."
v2_011,"Si el adjudicatario no firma el contrato dentro de plazo o no entrega la documentación necesaria, ¿qué consecuencias se establecen? Relaciónalo con la lógica de adjudicar al siguiente oferente mejor evaluado.","06_al_09_obligaciones_confidencialidad_jurisdiccion_interpretacion:6:6;05_Evaluacion_adjudicacion:5:20",hard,multi_hop,mix,"Multi-evidencia: consecuencia contractual + mecanismo de adjudicación al siguiente."
v2_012,"Según definiciones, ¿qué es un COF y qué componente de hardware se exige explícitamente para el COF en el anexo de componentes?","def:2.8;a06_componentes_hardware:row:4",hard,multi_hop,mix,"Multi-evidencia: definición COF + fila de requerimiento en CSV (estación de trabajo COF)."
v2_013,"En el formulario A06, ¿qué debe incluir el diagrama esquemático respecto a la interacción con COF y CMB? Además, en Definiciones: ¿qué es el Centro de Operación de Flota (COF) y qué es el Centro de Monitoreo de Buses (CMB)?","A06_formulario_de_la_solucion:1:0;def:2.8;def:2.9",hard,multi_hop,mix,"Calibrado: A06 exige diagrama + definiciones formales COF/CMB (def:2.8/def:2.9)."
v2_014,"Capacitación: ¿cuántas personas mínimo deben capacitarse para 'Personal de COF' y para 'Jefe de sala del COF'?","a11_personas_capacitar:row:6;a11_personas_capacitar:row:7",med,multi_hop,tabla,"Dos filas CSV distintas (roles diferentes)."
v2_015,"Para la experiencia en contadores de personas usuarias (ECPU): (1) ¿qué despliegue mínimo (%) y precisión mínima (%) exige la evaluación técnica? (2) En el anexo A06 del contador de personas, ¿cuál es el valor mínimo del campo 'diferencia_eventos_simultaneos'?","05_Evaluacion_adjudicacion:5:11;a06_contador_personas:row:0",hard,multi_hop,mix,"Calibrado: requisito ECPU en bases + parámetro técnico en A06 contador (row:0)."

